ID Partido,Año,Fase,Grupo,Jornada,Fecha,Hora,Equipo Local,Equipo Visitante,Goles Local,Goles Visitante,Marcador,Anfitrión Local,Estadio,Ciudad,Fuente
M-2018-01,2018,Fase de grupos,Grupo A,1,2018-06-14,18:00,russia,KSA,5 goles,,5-0,Sí,Luzhniki Stadium,Moscow,https://github.com/jfjelstul/worldcup
M-2018-02,2018,GROUP STAGE,A,1,15/06/2018,17:00,Egypt,Uruguay,0,1,0–1,0,Central Stadium,Yekaterinburg,https://github.com/jfjelstul/worldcup
M-2018-03,2018,grupos,group-b,1,06/15/2018,18:00,Morocco,"Iran, I.R.",0,1,0 : 1,FALSE,Krestovsky Stadium,Saint Petersburg,https://github.com/jfjelstul/worldcup
M-2018-04,2018,1ra fase,Grupo B,1,15-06-18,21:00,Portugal,España,3,3,3 x 3,no,Fisht Olympic Stadium,Sochi,https://github.com/jfjelstul/worldcup
M-2018-05,2018,Fase de grupos,C,1,"Jun 16, 2018",13:00,France,Australia,2,1,2—1,No,Kazan Arena,Kazan,https://github.com/jfjelstul/worldcup
M-2018-06,2018,GROUP STAGE,group-d,1,2018-06-16,16:00,Argentina,Iceland,1,1,1-1,0,Otkritie Arena,Moscow,https://github.com/jfjelstul/worldcup
M-2018-07,2018,grupos,Grupo C,1,16/06/2018,19:00,Peru,Denmark,0,1,0–1,FALSE,Mordovia Arena,Saransk,https://github.com/jfjelstul/worldcup
M-2018-08,2018,1ra fase,D,1,06/16/2018,21:00,Croatia,Nigeria,2,0,2 : 0,no,Kaliningrad Stadium,Kaliningrad,https://github.com/jfjelstul/worldcup
M-2018-09,2018,Fase de grupos,group-e,1,17-06-18,16:00,Costa Rica,Serbia,0,1,0 x 1,No,Samara Arena,Samara,https://github.com/jfjelstul/worldcup
M-2018-10,2018,GROUP STAGE,,1,"Jun 17, 2018",18:00,Germany,Mexico,0,1,0—1,0,Luzhniki Stadium,Moscow,https://github.com/jfjelstul/worldcup
M-2018-11,2018,grupos,E,1,2018-06-17,21:00,Brasil,Switzerland,1,1,1-1,FALSE,Rostov Arena,Rostov-on-Don,https://github.com/jfjelstul/worldcup
M-2018-12,2018,1ra fase,group-f,1,18/06/2018,15:00,Sweden,Rep. of Korea,1,0,1–0,no,Nizhny Novgorod Stadium,Nizhny Novgorod,https://github.com/jfjelstul/worldcup
