match,wc,round,grp,md,played_on,home,away,HG,AG,result_raw,host_h,host_a,source
M-2026-001,2026,GS,A,1,2026-06-11,México,South Africa,,s/d,2–0,TRUE,no,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A
M-2026-002,2026,group stage,Grupo A,1,12/06/2026,Korea Rep.,Czech Republic,2,1,2 : 1,no,No,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A
M-2026-007,2026,fase de grupos,group-b,1,06/12/2026,Canada,BOSNIA & HERZEGOVINA,1,1,1 x 1,Sí,0,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_B
M-2026-008,2026,GS,B,1,13-06-26,Qatar,Suisse,1,1,1—1,0,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_B
M-2026-013,2026,group stage,C,1,"Jun 13, 2026",Brazil,Morocco,1,1,1-1,FALSE,no,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_C
M-2026-014,2026,fase de grupos,Grupo C,1,2026-06-13,Haiti,Scotland,0,1,0–1,no,No,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_C
M-2026-019,2026,GS,group-d,1,13/06/2026,USA,Paraguay,4,1,4 : 1,Sí,0,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_D
M-2026-020,2026,group stage,D,1,46187,Australia,Turkiye,2,0,2 x 0,0,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_D
M-2026-025,2026,fase de grupos,E,1,14-06-26,Germany,curaçao,7,1,7—1,FALSE,no,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_E
M-2026-026,2026,GS,Grupo E,1,"Jun 14, 2026",Cote d Ivoire,Ecuador,1,0,1-0,no,No,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_E
M-2026-031,2026,group stage,group-f,1,2026-06-14,Holland,Japan,,2,2–2,No,0,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_F
